Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Betula pubescens",1.0729,0.57323,0.59563,0.93203,492.52,1.5183,250.3,1155.9,245.54,228.75,1.0322,1.0735,0.79845,1.4801,5.2904,30,35.65,14.76,208.04,30,38.856,12.405,-199.85
"Betula pubescens",1.0788,0.48908,0.60595,0.92699,606.3,1.4281,308.05,1483.8,302.48,258.8,1.0546,1.0861,0.82349,1.4433,6.1491,43,29.46,14.23,262.76,44,41.68,12.869,-253.67
"Betula pubescens",1.0564,0.64731,0.60219,0.9466,455.94,1.5156,232.27,1084.9,223.24,205.8,1.056,1.0565,0.79723,1.4669,4.9336,23,32.443,15.958,199.47,24,48.115,12.187,-185.17
"Betula pubescens",1.0447,0.53037,0.66196,0.95725,395.79,1.5122,199.1,376.43,198.88,194.81,1.0337,1.0477,0.80827,1.3428,5.6069,39,18.539,8.7012,175.15,39,22.205,7.7498,-160.93
"Betula pubescens",1.0673,0.55191,0.60129,0.93693,465.97,1.5278,235.72,766.26,232.89,209.1,1.0081,1.0575,0.79965,1.3885,5.6982,35,23.46,12.294,205.38,36,42.972,11.329,-188.49
"Betula pubescens",1.0698,0.55152,0.63368,0.93475,330.96,1.4011,167.1,326.61,164.85,166.04,1.035,1.0578,0.8366,1.3979,5.6121,35,16.318,9.3404,145.81,36,21.981,7.9886,-139.8
"Betula pubescens",1.0559,0.37711,0.69017,0.94705,563.14,1.3601,283,512.5,276.86,267.78,1.0087,1.051,0.85311,1.3056,6.0813,43,27.912,12.261,252.93,44,30.497,11.277,-241.43
"Betula pubescens",1.0653,0.45536,0.63697,0.93869,499.25,1.3601,252.12,680.46,248.71,253.04,1.023,1.0622,0.84898,1.3813,5.6972,40,25.804,11.922,223.62,41,30.375,10.799,-214.04
"Betula pubescens",1.0703,0.68525,0.58946,0.93429,407.22,1.6305,209.16,1293.1,201.74,165.69,1.0808,1.0914,0.76235,1.541,5.2276,34,22.527,12.328,166.04,34,32.856,9.9283,-159.46
"Betula pubescens",1.0542,0.58396,0.63361,0.94861,569.13,1.4343,288.9,1318.7,288.71,255.58,1.0291,1.0667,0.82243,1.4324,5.4541,32,34.449,15.932,249.92,33,42.675,13.256,-237.6
"Betula pubescens",1.0549,0.57598,0.65914,0.948,350.76,1.5527,177.38,487.17,175.78,157.48,1.0233,1.0016,0.79345,1.4049,5.714,34,27.626,10.592,150.07,35,21.715,8.1508,-140.74
"Betula pubescens",1.0482,0.55369,0.63097,0.95406,566.18,1.5959,287.29,1245.2,283.16,251.51,1.0396,1.0755,0.78,1.3961,5.4204,24,43.339,17.858,251.43,25,47.884,15.675,-224.09
"Betula pubescens",1.0583,0.52656,0.65759,0.94493,481.74,1.4142,243.96,833.24,240.09,224.83,1.0305,1.075,0.83024,1.4129,5.6513,34,34.774,13.448,212.44,35,30.369,11.128,-202.55
"Betula pubescens",1.0546,0.40768,0.6663,0.94827,453.78,1.3275,228.55,328.42,224.81,220.78,1.0136,1.0556,0.86163,1.3012,5.9823,50,18.627,9.1552,211.85,51,19.682,8.4531,-196.93
"Betula pubescens",1.0564,0.67965,0.60337,0.94659,386.36,1.5513,196.99,885.47,188.12,169.08,1.0731,1.0633,0.78732,1.4746,5.2945,39,19.34,9.7193,166.52,40,24.737,7.753,-155.1
"Betula pubescens",1.0708,0.63398,0.58816,0.93391,402.47,1.5185,206.88,959.09,197.67,180.5,1.0645,1.0733,0.78937,1.4815,5.0832,22,30.47,14.902,180.5,23,48.181,11.257,-163.3
"Betula pubescens",1.0465,0.66162,0.59914,0.95557,542.26,1.32,276.76,1380,258.52,251.77,0.99417,0.99154,0.85268,1.3543,4.9571,26,26.145,12.372,246.87,26,74.686,17.136,-235.98
"Betula pubescens",1.0482,0.7085,0.66746,0.954,367.74,1.3907,189.41,810.2,177.2,170.6,1.0398,1.0424,0.82318,1.3539,5.2762,26,23.233,9.9322,162.24,26,53.592,13.263,-155.92
"Betula pubescens",1.0363,0.64354,0.61865,0.96498,373.79,1.2942,189.78,535.23,180,171.18,0.99783,0.99758,0.86564,1.3563,4.8289,23,20.039,9.9642,171.47,23,54.781,11.447,-164.28
"Betula pubescens",1.0421,0.67672,0.63078,0.95963,399.46,1.3172,203.19,753,189.68,189.71,1.0113,1.0079,0.85645,1.3749,4.8143,23,23.227,13.38,180.68,24,40.425,9.74,-174.02
"Betula pubescens",1.0522,0.74703,0.58251,0.9504,428.82,1.4048,221.98,1573,202.55,187.34,1.0212,0.98016,0.81495,1.4446,4.7464,20,28.195,19.018,189.24,21,45.948,12.706,-180.9
"Betula pubescens",1.0579,0.57834,0.57814,0.9453,481.29,1.4441,244.98,818.02,237.8,238.65,1.0119,0.98985,0.81743,1.3615,5.127,30,24.437,15.174,208.92,31,31.678,12.863,-200.25
"Betula pubescens",1.0615,0.67999,0.5731,0.94207,436.4,1.4167,224.56,1139.8,210.47,213.07,1.0125,0.99521,0.81636,1.4184,5.1239,28,21.931,12.948,196.32,29,57.168,15.793,-183.32
"Betula pubescens",1.0427,0.63782,0.58754,0.95902,546.19,1.339,277.48,1157.2,264.16,266.6,1.015,0.99782,0.85054,1.3499,4.9815,28,30.766,16.256,243.57,29,45.031,13.031,-236.01
"Betula pubescens",1.0402,0.73423,0.60016,0.96139,627.95,1.6945,321.7,2967.3,304.6,280.89,0.99444,0.97231,0.74975,1.4538,4.6056,14,37.963,18.889,257.6,15,115.47,32.467,-241.19
"Betula pubescens",1.048,0.6449,0.58876,0.95416,354.23,1.439,180.41,561.09,169.89,172.69,1.0057,1.0319,0.81836,1.3877,4.8971,23,22.588,12.001,153.54,24,35.627,9.3097,-147.64
"Betula pubescens",1.0702,0.59823,0.57245,0.93444,452.48,1.3258,231.89,911.53,223.17,208.04,1.0116,0.99922,0.84731,1.3833,5.3744,25,32.605,15.709,202.44,26,69.591,18.575,-196.48
"Betula pubescens",1.0515,0.66216,0.59743,0.95107,614.46,1.4212,312.61,1802.9,295.88,299.12,1.0423,1.0316,0.82436,1.4303,4.7146,21,41.563,22.268,270.02,22,66.979,16.423,-257.71
"Betula pubescens",1.07,0.75742,0.5788,0.93458,503.64,1.6816,258.06,2353.5,239.74,198.17,0.99652,0.95512,0.7525,1.5275,4.9748,26,28.439,14.018,202.47,26,73.881,21.328,-194.19
"Betula pubescens",1.071,0.74435,0.60099,0.93374,403.73,1.4315,209.15,1491.4,188.85,175.58,1.0436,1.0343,0.80669,1.4954,5.1189,25,30.555,17.091,178.53,26,43.59,12.428,-168.72
"Betula pubescens",1.0565,0.64278,0.56043,0.94656,573.47,1.5328,293.63,1715.8,278.75,279.35,1.0163,1.0272,0.78875,1.4159,4.8898,23,37.747,20.409,248.03,24,62.055,16.662,-231.6
"Betula pubescens",1.0519,0.60746,0.589,0.95069,478.8,1.3085,243.85,896.12,231.44,214.45,0.98065,1.0025,0.85827,1.3495,5.0321,22,25.734,13.122,213.42,21,79.044,16.615,-209.29
"Betula pubescens",1.0728,0.755,0.58576,0.93212,523.66,1.7171,271.68,3037.9,257.36,227.54,1.1012,1.0516,0.73546,1.6212,4.4364,18,45.609,27.915,224.67,19,53.978,16.805,-199.81
"Betula pubescens",1.0432,0.65224,0.63724,0.95859,399.14,1.3444,202.24,568.17,192.69,195.12,1.0056,1.0008,0.85105,1.3009,5.0553,26,25.902,11.528,180.28,27,34.232,9.452,-172.12
"Betula pubescens",1.0342,0.71558,0.64867,0.96689,585.64,1.7671,294.92,1846.8,285.26,262.72,1.0199,1.0155,0.74693,1.4008,4.679,14,45.849,26.762,248.43,15,62.538,17.804,-220.28
"Betula pubescens",1.0451,0.67759,0.58859,0.95688,478.68,1.336,245.07,1293.7,226.52,229.52,1.0202,1.015,0.84492,1.408,4.7153,21,32.251,17.78,216.36,22,46.065,12.741,-207.06
"Betula pubescens",1.0508,0.62092,0.63198,0.95165,481.7,1.595,242.4,818.83,229.92,302.33,0.98345,0.9608,0.78676,1.3631,5.4207,29,31.518,13.976,202.38,30,39.613,11.234,-190.71
"Betula pubescens",1.0515,0.78229,0.58764,0.95099,516.2,1.5858,268.26,2755.3,249.12,225.2,1.0814,1.0348,0.76402,1.5298,4.5373,14,46.382,31.644,210.78,14,64.16,20.002,-204.96
"Betula pubescens",1.0691,0.74325,0.56349,0.93533,386.23,1.6637,198.78,1262.8,181.75,183.06,1.0171,1.0134,0.75319,1.4571,4.8714,20,35.77,19.447,165.97,20,44.671,14.012,-149.72
"Betula pubescens",1.0525,0.71535,0.57908,0.95016,463.37,1.4749,237.86,1499,222.82,205.58,1.0605,1.009,0.80204,1.4499,4.9089,25,26.504,17.057,199.37,26,42.985,13.203,-190.78
"Betula pubescens",1.067,0.72097,0.57075,0.93718,429.49,1.4375,223.34,1458.8,207.26,193.4,1.0211,0.98895,0.80196,1.4477,4.7692,21,32.116,19.222,187.65,22,41.701,13.092,-179.11
"Betula pubescens",1.0473,0.71238,0.59984,0.95487,496.78,1.6118,253.39,1561.9,238.97,230.83,0.98432,0.99832,0.77214,1.3962,4.8534,22,23.33,11.898,208.56,22,68.3,18.537,-195.65
"Betula pubescens",1.0566,0.80784,0.59025,0.94646,434.54,1.7961,226.83,2415,206.18,182.71,1.0798,1.0298,0.71471,1.57,4.5125,18,35.35,23.52,169.85,18,45.716,14.885,-162.12
"Betula pubescens",1.0555,0.67222,0.59713,0.94743,467.74,1.3605,237.69,1084.5,221.72,213.87,1.0134,0.99806,0.84357,1.416,5.0123,28,21.878,11.441,206.09,28,61.824,14.588,-200.51
"Betula pubescens",1.0523,0.67349,0.59759,0.95027,362.08,1.3701,184.75,633.8,173.51,170.52,0.98575,1.0026,0.83718,1.3872,5.0376,23,20.982,11.414,163.81,23,57.634,14.011,-154.67
"Betula pubescens",1.0484,0.69792,0.65378,0.95386,316.13,1.4083,161.59,522.81,151.9,144.13,0.97307,1.018,0.82431,1.3723,4.8073,21,21.257,10.325,141.77,21,45.206,11.224,-133.2
"Betula pubescens",1.0607,0.60449,0.586,0.94277,338.11,1.3332,171.28,410.77,163.25,157.07,1.0142,1.0092,0.85478,1.3215,5.3456,28,16.302,8.6869,152.84,28,47.268,10.942,-146.41
"Betula pubescens",1.0407,0.54699,0.63807,0.96087,324.08,1.3495,163.77,223.58,159.01,163.98,1.0045,1.0087,0.8517,1.2591,5.286,24,19.022,8.5854,151.02,24,44.176,10.334,-139.48
"Betula pubescens",1.049,0.69151,0.59156,0.9533,489.47,1.4937,253.04,1467.7,241.62,232.71,0.98861,0.98603,0.79137,1.4312,4.9841,21,36.23,19.895,213.51,22,51.797,14.582,-200.25
"Betula pubescens",1.0567,0.56422,0.59828,0.94634,564.49,1.4338,287.11,1065.1,277.76,282.15,1.01,1.0263,0.82099,1.3677,5.0118,29,29.343,14.492,241.76,30,46.115,11.873,-235.71
"Betula pubescens",1.0406,0.73851,0.59574,0.96095,397.4,1.6108,203.64,1174.8,189.13,185.38,1.0123,0.99213,0.76881,1.4027,4.7787,19,27.732,16.392,164.34,20,39.537,12.009,-156.56
"Betula pubescens",1.0418,0.71994,0.60892,0.95989,479.31,1.6415,244.1,1488.9,228.05,227.2,1.0243,1.0264,0.7663,1.4286,4.7862,19,34.496,19.714,207.75,20,47.729,14.706,-187.05
"Betula pubescens",1.0701,0.76716,0.56059,0.93446,418.39,1.7548,217.34,1961.3,196.2,179.1,1.0574,0.99837,0.72658,1.5683,4.6853,17,39.478,25.303,179,18,51.723,17.577,-157.92
"Betula pubescens",1.0535,0.67423,0.56377,0.9492,477.76,1.4964,245.42,1264.6,231.84,237.8,1.0289,0.99891,0.79566,1.4164,4.8012,23,29.187,17.734,203.25,24,54.852,14.191,-195.28
"Betula pubescens",1.0421,0.66128,0.66569,0.95959,342.16,1.4954,174.17,588.61,167.52,144.02,1.0063,1.0374,0.80326,1.4107,5.0674,31,14.102,7.3998,145.52,31,39.895,9.3999,-139.9
"Betula pubescens",1.0708,0.78126,0.584,0.93387,414.68,1.7552,213.78,1878.4,197.41,170.91,1.0057,0.95097,0.73207,1.5385,4.8767,19,25.765,14.998,170.93,20,73.287,22.743,-156.5
"Betula pubescens",1.0474,0.6444,0.59814,0.95475,429.32,1.3895,218.02,811.97,207.41,198.35,1.0175,0.99611,0.83526,1.3811,4.8388,21,28.451,10.815,190.16,21,73.952,16.013,-182.1
"Betula pubescens",1.0464,0.73626,0.60079,0.95567,397.44,1.384,202.99,1140,185.71,172.66,1.0618,1.0071,0.83213,1.4432,5.0556,30,19.062,12.069,173.65,31,29.12,8.5321,-168.91
"Betula pubescens",1.0507,0.65328,0.58996,0.95173,445.74,1.3566,227.26,943.89,213,204.37,1.0182,1.0043,0.84199,1.3683,4.8368,18,33.751,18.558,203.5,19,50.432,13.884,-191.35
"Betula pubescens",1.0626,0.74265,0.58586,0.94112,464.91,1.5309,239.55,1840.2,221.48,210.23,1.0667,1.0359,0.78428,1.5145,4.6636,25,31.516,17.732,195.19,26,38.121,12.054,-187.87
"Betula pubescens",1.0503,0.67643,0.62948,0.95214,467.28,1.5202,237.23,1084,228.07,212.88,1.0091,0.99206,0.79878,1.4248,4.9023,16,44.979,22.203,203.33,17,53.172,14.914,-189.49
"Betula pubescens",1.0455,0.71632,0.62853,0.95644,381.62,1.4085,195.26,866.5,184.37,167.3,1.0157,0.99526,0.8234,1.361,5.2456,27,21.757,16.279,167.92,27,31.814,9.8292,-160.78
"Betula pubescens",1.0416,0.71413,0.60717,0.96009,434.76,1.4612,223.29,1217,208.57,193.7,1.0257,0.99442,0.80538,1.4035,4.8822,20,30.946,17.69,191.62,21,42.535,12.682,-179.83
"Betula pubescens",1.0485,0.71626,0.70918,0.95372,406.69,1.4272,210.05,1171,194.88,187.67,0.9681,1.0143,0.81034,1.4395,5.0202,20,23.578,13.205,178.4,20,72.823,18.274,-170.21
"Betula pubescens",1.0464,0.63692,0.6477,0.95566,434.94,1.3966,220.43,752.47,213.87,202.99,1.0114,1.0074,0.83483,1.3759,5.2361,23,33.357,10.927,189.83,23,65.751,15.697,-184.02
"Betula pubescens",1.0592,0.72378,0.57114,0.9441,411.26,1.5013,211.75,1303.9,195.15,198.7,1.0036,0.98313,0.79255,1.4261,5.0003,23,28.085,13.493,180.01,23,66.205,18.862,-167.83
"Betula pubescens",1.0532,0.73685,0.59941,0.94947,438.98,1.6133,226.09,1707.2,212.45,201.33,1.0805,1.0461,0.76433,1.5576,4.4837,21,29.993,17.373,181.39,22,34.065,11.024,-172.81
"Betula pubescens",1.054,0.62838,0.62835,0.94873,504.97,1.3985,256.62,976.45,246.57,232.45,1.039,1.0184,0.83196,1.4163,4.867,29,27.308,13.911,225.28,30,34.497,9.7249,-213.5
"Betula pubescens",1.038,0.72778,0.62426,0.96342,410.92,1.6406,208.55,1071.4,197.45,180.15,1.0449,1.0076,0.76915,1.4492,4.6423,17,31.072,17.762,168.51,18,35.697,12.223,-160.41
"Betula pubescens",1.0467,0.67933,0.62306,0.95535,461.53,1.4931,234.69,1138,223.77,216.88,1.042,1.0321,0.80472,1.4605,4.6387,18,37.45,17.866,203.59,19,45.347,11.777,-188.86
"Betula pubescens",1.051,0.63454,0.61636,0.95146,467.11,1.3416,237.26,944.93,227,213.18,1.04,1.0555,0.84986,1.4527,4.8276,28,22.926,12.537,210.05,29,33.445,8.8758,-201.64
"Betula pubescens",1.0396,0.67654,0.62923,0.9619,567.7,1.4256,288.22,1556.7,276.76,259.33,1.0394,0.9984,0.82484,1.4381,4.7721,21,38.536,19.863,249.33,22,46.346,12.889,-237.74
"Betula pubescens",1.0504,0.70428,0.65122,0.95206,501.02,1.52,255.21,1588.5,244.84,220.8,1.054,0.97733,0.79616,1.5024,4.7491,27,32.502,15.935,211.49,28,34.56,10.187,-203.19
"Betula pubescens",1.0417,0.60112,0.65176,0.95999,550.79,1.3144,277.79,840.3,266.79,257.9,1.0185,1.0225,0.86472,1.3588,5.039,30,29.81,13.697,248.18,31,37.206,9.9724,-240.21
"Betula pubescens",1.0519,0.70389,0.62224,0.9507,476.75,1.5122,242.49,1354,233.67,221.83,1.0473,1.0551,0.7994,1.4785,4.7472,27,27.201,15.179,204.2,28,34.162,10.774,-193.85
"Betula pubescens",1.044,0.62206,0.64176,0.95783,547.42,1.3435,277.35,1081,266.25,255.27,1.0227,1.0025,0.85144,1.4176,4.9139,33,29.315,12.845,246.77,34,32.37,8.9739,-236.15
"Betula pubescens",1.0519,0.65531,0.61802,0.95065,476.42,1.3749,242.59,1108.5,230.05,226.64,1.0541,1.0466,0.83743,1.4603,4.8806,30,25.947,13.801,209.93,31,32.465,9.997,-203.15
"Betula pubescens",1.0441,0.616,0.62842,0.95773,567.5,1.3345,286.46,1150.9,274.56,275.49,1.0267,1.0404,0.85748,1.4172,4.8747,27,32.249,15.531,255.66,28,41.445,11.4,-245.63
"Betula pubescens",1.0583,0.62158,0.63063,0.94491,518.77,1.7093,261.28,943.28,252.08,246.94,1.0283,1.0221,0.75933,1.3982,4.99,26,32.018,13.485,240.5,27,22.865,10.402,-198.4
"Betula pubescens",1.0459,0.66119,0.62805,0.95608,420.2,1.3643,212.84,769.04,202.02,199.26,1.0334,1.0356,0.84514,1.4246,4.9109,27,22.842,12.752,188.23,28,31.974,9.2796,-179.88
"Betula pubescens",1.0582,0.65328,0.6256,0.94502,391.32,1.3732,199.87,775.6,190.27,180.9,1.05,1.0115,0.8354,1.4681,4.7132,29,21.541,10.656,172.95,30,26.377,7.0138,-166.97
"Betula pubescens",1.0407,0.63611,0.64729,0.9609,469.62,1.4778,237.18,859.77,226.8,225.88,1.027,1.0224,0.81439,1.4185,4.9251,26,27.29,13.425,206.08,27,35.641,10.044,-193.16
"Betula pubescens",1.0459,0.64057,0.63811,0.95609,490.6,1.3866,248.3,1019.5,238.69,231.7,1.0377,1.041,0.83896,1.449,4.8861,27,31.828,14.234,216.75,28,30.073,9.9932,-208.32
"Betula pubescens",1.0468,0.4975,0.64349,0.95532,379.93,1.4645,190.89,296.44,188.79,188.67,0.99958,0.99697,0.82235,1.3261,5.1908,28,22.41,8.3964,164.51,28,22.548,8.0156,-156.98
"Betula pubescens",1.0325,0.58923,0.65192,0.96854,540.57,1.3366,272,766.05,264.92,260.59,1.0075,1.0079,0.8595,1.3612,5.0562,30,30.238,11.513,242.07,31,31.178,8.4689,-233.78
"Betula pubescens",1.0616,0.70891,0.60486,0.94201,380.12,1.527,194.4,1034.6,184.64,179.79,1.0691,1.0667,0.79119,1.5258,4.7738,31,20.022,11.335,160.42,32,25.47,8.1475,-153.8
"Betula pubescens",1.038,0.64775,0.64272,0.96343,455.35,1.4459,230.24,835.21,219.88,214.88,1.0292,1.0342,0.82236,1.409,4.9041,27,27.677,12.721,198.96,28,33.823,9.2669,-189.34
"Betula pubescens",1.0334,0.6549,0.63964,0.96765,578.17,1.4486,292.15,1392.9,283.03,277.39,1.0225,1.0405,0.82215,1.4165,4.9004,26,34.024,15.637,248.17,27,34.562,11.398,-240.19
"Betula pubescens",1.0353,0.56646,0.62743,0.9659,508.52,1.3161,257.02,785.32,250.27,250.43,1.0161,1.0343,0.86232,1.393,4.7931,23,31.621,14.117,230.01,24,44.233,10.253,-221.63
"Betula pubescens",1.0423,0.59315,0.65059,0.9594,449.67,1.3691,227.54,669.87,223.28,213.04,1.0173,1.0406,0.84447,1.4024,4.8104,27,26.281,10.92,202.73,28,26.212,7.4924,-192.15
"Betula pubescens",1.0567,0.77356,0.61104,0.94636,348.43,1.6804,179.77,1219.5,169.78,158.99,1.0765,1.0659,0.74757,1.5686,4.4789,24,20.993,13.425,143.2,25,30.122,8.9638,-134.39
"Betula_pendula",0.9894,0.42192,0.63441,0.90148,295.62,3.7165,144.11,404.14,146.23,169.63,1.0153,0.93449,0.53205,1.2784,6.3183,17,28.627,14.539,134.97,17,38.176,20.443,-76.672
"Betula_pendula",1.0341,0.31432,0.56576,0.84486,350.1,6.9169,169.15,1290.2,177.34,208.91,1.0194,0.82733,0.39349,1.2997,7.0779,18,49.624,22.878,159.47,18,46.599,29.782,-66.559
"Betula_pendula",0.95615,0.38935,0.58197,0.87656,372.53,3.0706,182.59,618.18,186.66,211.5,0.9495,0.90321,0.58216,1.2274,7.1706,27,31.763,16.446,182.1,27,30.898,20.37,-106.3
"Betula_pendula",1.0528,0.16157,0.52097,0.84394,347.31,7.6741,168.57,1218,174.43,211.37,0.93907,0.8443,0.37187,1.3357,7.1727,28,34.14,16.35,161.01,28,33.296,21.049,-62.686
"Betula_pendula",1.0479,0.36631,0.60048,0.8745,317.12,3.4684,156.62,575.27,158.26,176.72,1.0194,0.96074,0.54361,1.2933,5.8752,13,38.981,17.884,152.52,13,57.101,24.731,-85.138
"Betula_pendula",1.0385,0.53378,0.59684,0.89571,415.2,3.3078,203.5,900.43,204.22,244.42,1.02,0.86089,0.56092,1.2842,6.6738,27,40.856,17.746,196.55,27,31.433,19.867,-114.14
"Betula_pendula",1.0166,0.218,0.53913,0.87574,317.27,3.4594,157.14,562.31,157.04,170.28,0.95183,0.89816,0.54277,1.2693,6.6181,27,26.424,13.252,137.5,27,28.997,17.28,-85.29
"Betula_pendula",0.92578,0.56982,0.58417,0.85776,448.59,2.7465,223.04,1053.2,222.56,282.73,0.9871,0.87748,0.6068,1.2915,7.471,46,30.004,15.551,179.38,46,22.293,15.857,-135.34
"Betula_pendula",1.1217,0.62895,0.61465,0.87764,421.59,2.6703,208.02,910.17,210.51,185.03,1.04,0.88327,0.62013,1.2752,7.057,36,32.117,15.972,138.97,36,24.838,16.751,-129
"Betula_pendula",0.936,0.59111,0.55293,0.83865,294.82,9.3532,142.56,874.07,147.65,176.75,0.90449,0.82031,0.3381,1.3716,7.564,36,23.335,13.478,130.26,36,19.748,15.18,-48.2
"Betula_pendula",1.0095,0.35251,0.56781,0.88824,331.61,3.6044,165.85,603.02,169.91,205.92,1.027,0.9322,0.52656,1.2564,6.0755,19,33.154,15.738,159.56,19,34.971,20.663,-87.332
"Betula_pendula",1.0149,0.48451,0.57287,0.85379,412.42,4.4644,201.49,1056.9,204.54,246.51,1.0158,0.86322,0.48437,1.306,7.4254,30,33.746,19.852,170.73,30,32.936,22.774,-97.595
"Betula_pendula",1.0122,0.48786,0.55159,0.83499,354.32,4.3504,173.76,922.94,178.3,161.56,0.96829,0.8397,0.48884,1.3073,7.4885,27,38.996,20.172,163.59,27,31.21,23.047,-84.938
"Betula_pendula",1.0552,0.18613,0.55731,0.87006,300.09,5.215,145.43,684.54,149.06,176.26,0.96417,0.87511,0.45179,1.2846,7.0226,24,29.927,15.09,126.47,24,30.126,19.739,-65.704
"Betula_pendula",1.058,0.50616,0.57671,0.90278,300.53,2.4274,150.83,423.42,151.75,157.91,0.97645,1.0104,0.63946,1.3668,5.5252,15,33.518,17.529,136.66,15,41.785,24.355,-96.448
"Betula_pendula",1.0069,0.39248,0.59875,0.84441,407.75,6.0104,197.58,1103,205.59,213.31,1.0038,0.90338,0.42089,1.259,8.3376,35,41.044,18.177,153.13,35,29.535,21.137,-83.159
"Betula_pendula",1.0062,0.37135,0.59795,0.88634,330.95,3.6024,162.31,503,164.76,182.8,0.93162,0.92502,0.53717,1.2432,6.7151,16,37.625,19.543,158.97,16,49.865,26.274,-87.185
"Betula_pendula",1.0433,0.43364,0.53546,0.832,367.13,4.9483,179.19,1120.5,180.67,243.35,1.0201,0.82659,0.46052,1.3594,7.0854,22,42.504,23.818,154.62,22,41.298,28.206,-82.521
"Betula_pendula",1.0831,0.44544,0.51097,0.85165,283.89,3.0965,143.13,751.21,144.79,181.42,1.0064,0.98367,0.56356,1.4011,5.5351,14,37.264,19.502,133.61,14,42.618,27.399,-80.665
"Betula_pendula",1.0307,0.34675,0.58234,0.88977,311.64,2.6682,154.79,423.35,154.05,184.99,0.99089,0.9674,0.61627,1.2727,6.0659,24,22.817,12.024,144.05,24,32.019,15.973,-95.392
"Betula_pendula",1.0477,0.20968,0.61377,0.89464,359.69,4.2357,176.22,674.28,177.54,184.36,0.95128,0.9465,0.49589,1.2482,6.3422,20,31.092,14.133,166.89,20,43.419,20.323,-87.383
"Betula_pendula",1.055,0.48765,0.52513,0.81516,370.28,4.1568,180.56,1200.9,183.42,247.3,1.0268,0.82214,0.50292,1.3697,6.9954,15,56.112,34.935,183.94,15,58.112,40.302,-90.808
"Betula_pendula",0.96324,0.67589,0.66035,0.88844,328.72,2.5253,161.32,692.16,163.2,153.15,0.96409,0.9852,0.64115,1.4541,6.5053,33,25.005,12.883,124.84,34,21.365,13.576,-103.43
"Betula_pendula",1.0321,0.33263,0.54553,0.84283,346.18,6.7741,166.06,1011.6,169.22,202.85,0.94906,0.84913,0.40047,1.3109,7.5659,23,38.526,20.198,166.58,23,38.344,26.4,-66.503
"Betula_pendula",1.0128,0.37224,0.63101,0.91002,281.98,2.9231,139.81,349.81,141.09,171.54,1.0091,0.98437,0.58984,1.2495,6.0277,23,23.445,9.731,127.89,23,28.206,13.455,-82.464
"Betula_pendula",0.98013,0.26165,0.51948,0.80605,343.59,7.3625,165.19,1520.4,173.12,221.08,1.0426,0.81949,0.38328,1.356,7.6382,26,36.48,18.785,164.55,27,32.461,21.683,-63.314
"Betula_pendula",1.0609,0.328,0.6266,0.9012,280.26,7.6659,133.89,625.1,138.69,152.09,1.03,0.88157,0.378,1.283,6.9388,26,24.665,10.688,109.22,26,26.982,14.97,-50.611
"Betula_pendula",1.0591,0.4391,0.64375,0.88535,336.78,3.5792,164.54,478.11,167.52,187.09,1.0624,0.9082,0.54094,1.269,7.1505,28,29.763,14.907,124.83,28,25.232,16.806,-89.007
"Betula_pendula",1.0929,0.40851,0.60206,0.89683,362.37,5.8257,174.87,945.92,182.12,198.73,0.97259,0.87357,0.42928,1.297,6.8428,19,47.245,19.875,184.78,19,41.602,27.381,-75.067
"Betula_pendula",1.0991,0.39145,0.58805,0.89546,303.2,3.1604,146.78,506.69,150.91,136.42,0.96995,0.85346,0.58097,1.266,6.6786,21,36.046,15.487,137.09,21,27.739,18.878,-85.275
"Betula_pendula",1.0589,0.27678,0.5427,0.84371,329.13,3.4814,162.94,632.96,166.46,170.07,0.99647,0.91598,0.54131,1.3048,6.6935,27,29.015,15.663,144.69,27,29.255,19.937,-88.198
"Betula_pendula",1.0409,0.39091,0.57771,0.85066,332.22,7.5232,161.15,793.46,167.35,172.86,0.9138,0.86709,0.37581,1.2565,7.359,21,36.491,18.032,111.21,21,34.923,23.922,-60.561
"Betula_pendula",1.0211,0.41004,0.57193,0.87055,389.54,4.553,188.47,959.2,193.4,235.27,1.0665,0.85913,0.48432,1.2486,7.5046,21,42.121,23.065,184.18,21,44.632,28.955,-91.279
"Betula_pendula",1.0373,0.37027,0.61473,0.89551,381.01,5.4142,185.97,775.55,188.76,232.65,1.0692,0.911,0.44024,1.251,6.9073,21,30.088,18.918,173.29,21,44.947,25.353,-81.873
"Betula_pendula",1.0326,0.40368,0.53556,0.86517,318.64,4.8195,157.68,764.85,162.17,191.96,0.9613,0.88446,0.46026,1.332,6.1563,16,47.627,19.135,164.84,16,43.221,27.272,-72.572
"Betula_pendula",1.0401,0.54659,0.57011,0.87906,348.27,3.7945,171.37,757.62,172.08,219.35,1.0195,0.86212,0.52162,1.3206,6.4292,19,39.273,20.467,165.42,19,36.575,24.207,-89.392
"Betula_pendula",1.0754,0.060821,0.54498,0.86492,347.28,6.7003,167.07,1045.5,172.12,185.5,0.99628,0.86334,0.40152,1.2912,7.5791,20,45.027,23.372,161.22,20,42.887,30.368,-67.081
