Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Acer platanoides",1.4036,0.64466,0.51799,0.71247,1349.9,4.2268,683.66,18149,702.71,367.52,0.9649,0.93129,0.48021,1.3783,8.5359,21,250.07,149.98,583.49,21,178.09,134.48,-328.3
"Acer platanoides",1.5561,0.43914,0.47051,0.64264,1196.6,3.6324,620.28,14056,633.4,537.33,1.0726,1.0103,0.5061,1.4211,7.3998,14,250.05,185.36,539.62,14,216.45,155.89,-313.92
"Acer platanoides",1.3506,0.54908,0.54424,0.74039,1163.8,3.4208,586.66,9128.7,596.07,451.34,0.98083,0.93096,0.53629,1.3518,8.829,24,172.6,107.44,459.32,25,145.9,95.191,-314.62
"Acer platanoides",1.4422,0.61811,0.52812,0.69339,1461.5,3.5386,743.4,19808,762.02,433.66,0.98661,0.9267,0.52256,1.4061,8.4943,23,197.43,138.57,502.16,23,204.4,144.48,-388.47
"Acer platanoides",1.4185,0.63212,0.50646,0.70495,1823.6,4.6092,914.18,34743,937.49,657.31,0.9939,0.99051,0.46457,1.3898,9.482,29,252.75,164.84,722.88,30,204.38,156.12,-424.71
"Acer platanoides",1.4382,0.52582,0.50433,0.6953,1490.8,3.9593,758.24,18369,781.2,390.41,0.96228,0.89003,0.49406,1.3403,9.054,22,226.29,155.42,687.36,22,224.91,161.94,-374.62
"Acer platanoides",1.4191,0.64968,0.5258,0.70466,1660.1,5.6986,835.43,28785,863.06,869.09,0.95587,0.94358,0.41621,1.3874,9.3107,27,252.16,164,443.79,27,200.62,142.33,-347.71
"Acer platanoides",1.3793,0.65219,0.52918,0.72503,1821.2,5.5807,907.2,35189,945.89,409.42,0.97189,0.89792,0.42491,1.3914,9.3172,27,288.04,174.04,842.86,27,212.45,155.05,-385.47
"Acer platanoides",1.4366,0.60049,0.52497,0.6961,1890.1,4.4201,940.34,37388,976.59,618.99,0.95115,0.92564,0.47803,1.3864,9.7985,29,254.72,175.08,602.26,29,223.67,153.13,-449.51
"Acer platanoides",1.3957,0.5981,0.54982,0.71649,1194.1,4.1175,607.99,12283,627.12,408.48,1.0233,0.93877,0.48396,1.3278,8.4839,20,232.77,130.34,575.15,21,157.25,112.5,-294.24
