Type,Eccentricity,Circularity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
ulmus_laevis,0.581008266503654,0.43265578452768916,0.92164958401974095,0.61404507797718544,412.6104773338022,145079,1.3156428505575761,209.03432091878463,209.03432091878463,200.64746081811586,179.86275902884299,0.97458164665586422,0.50496204392594823,0.86044606569044912,1.3612881241845851,5.9355640519340023,42,41,24.547619047619047,8.2403252776673099,1.0465011974576726,26.926829268292682,6.9907766080891047,15.64175393420598
ulmus_laevis,0.7125598904991897,0.3910892289938474,0.90906680463040812,0.61298185941043082,423.05792696021797,154630,1.4929420051942255,217.00772308663269,217.00772308663269,205.58143847967952,276.11187136778904,0.97768243925354903,1.0044127735597499,0.79776170010448277,1.4083177855297169,5.9421004606577226,33,33,39.606060606060609,9.6782270279327332,0.24483235933882952,39.606060606060609,9.1652546374169344,16.025085606243323
ulmus_laevis,0.8371189561675926,0.36891716853522427,0.91185493216988212,0.66648950305607224,391.50692120752836,132021,2.0429135459287515,205.07929739531801,205.07929739531801,194.02053243637974,136.95706938180783,0.96348105814001439,0.47039848292967301,0.66782493952963273,1.4533187599620701,5.8011259248289724,39,39,33.153846153846153,5.9765682408836467,1.1641351954052652,32.358974358974358,5.7960071954517476,18.754653870307351
ulmus_laevis,0.8128264368714712,0.3671194580171804,0.91356748810060984,0.63353773942009239,399.7807737903688,137402,1.8792564438514943,210.35887744326308,210.35887744326308,200.6678821751687,194.58767836129189,0.96146038847259463,1.009772317991241,0.69316725717055105,1.4529039135896988,5.7716613700230317,36,36,36.75,6.8689115062599031,0.83022955183298563,36.055555555555557,6.384879715225015,12.57020146779908
ulmus_laevis,0.8205084307767365,0.3695664238625623,0.92275943007470218,0.62302569490197479,422.13145730194634,151669,1.833590907833613,219.30737102242506,219.30737102242506,204.92509039352677,161.95474920052391,0.98739958302564756,0.0,0.71074410983859804,1.451853279779808,5.8385288564024469,37,36,35.027027027027025,8.3149389942734846,0.81374805232019298,37.388888888888886,7.1919695138104123,13.398404558585298
ulmus_laevis,0.8489588056794865,0.39010840069631547,0.9286355336861325,0.67549254430197381,437.0703548564466,161565,2.2133558922060423,227.50950820093499,227.50950820093499,222.28122019155717,259.86015590293903,0.95300649514783153,0.54460983938158292,0.64564854666875893,1.4587726173940381,5.6435272078550529,37,37,39.081081081081081,6.8909903407481439,0.85533468671025048,37.513513513513516,7.0053896956960484,21.895839266748908
ulmus_laevis,0.7640931810889586,0.4211317826876992,0.92431884409133513,0.6458166265704357,429.61471623398705,156829,1.7181852250296465,220.31583242261087,220.31583242261087,209.6222487384191,163.87555055315681,0.97112069898591136,0.9712598392789662,0.74382103524366761,1.3844563337770406,5.8226138787742086,37,36,34.54054054054054,8.8093796277871999,1.0655956304371728,33.277777777777779,7.8497653936266891,24.234782787591058
ulmus_laevis,0.803989186350684,0.33702001171746726,0.9254699543124193,0.61676056599914464,411.0151126120077,143365,1.875607235037873,211.95109331236395,211.95109331236395,206.71751249436736,171.20984090333513,0.98596290627946814,0.0,0.70798031781646142,1.4118543848267986,6.3058891493771281,36,36,33.861111111111114,8.9823599032047898,1.012806494925087,33.805555555555557,8.6223493798384165,19.120506457381282
ulmus_laevis,0.7742232703295199,0.39903469620986426,0.93709184813646862,0.65558378390115735,438.41269962688204,161092,1.884122277850554,223.82805389394443,223.82805389394443,211.42535381760769,209.56277774564228,0.97971599454988367,0.99657333606784981,0.71348372212695688,1.3826270205929674,6.0037990939333152,44,43,29.25,7.3793899093311248,2.3219364092809087,28.953488372093023,7.1629218172124576,16.447257354518143
ulmus_laevis,0.7426224238390523,0.3775603950125337,0.93171161493944199,0.68324556357038546,443.372611953305,165709,1.6344413434933469,226.70060402585656,226.70060402585656,217.69773374574234,199.99495339933003,1.0251488962763562,0.50977299585986868,0.7648944676192112,1.3268175502191897,6.3466133904967217,43,44,31.627906976744185,7.0357188034640954,2.2348000929696354,30.59090909090909,7.2352719198431439,20.782827884487062
