Type,Eccentricity,Circularity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
berberis_vulgaris,0.7610219176141608,0.7089578670630486,0.9795723060326077,0.70640567162306289,378.6279615927895,114942,1.6054136482266257,191.65883160634746,191.65883160634746,186.18697001233068,176.14747089971689,1.007406836501737,0.99688270662601697,0.77957943854853839,1.3867375646353155,4.4472788404379955,13,13,60.307692307692307,12.820897648803001,0.75022576235309657,68.538461538461533,2.2689604974853981,3.7164933389827866
berberis_vulgaris,0.7824481317873121,0.7169859658882348,0.97688841071029819,0.69141522988505744,350.0613374582171,98522,1.7036073503814904,177.42595983083956,177.42595983083956,170.2199509715341,134.10019194078464,1.0025458645240879,1.0096031790351525,0.75580930811160707,1.3589661259240404,4.5123533481869318,12,12,51.166666666666664,15.647828825809567,0.83817222972109562,66.583333333333329,1.9541164633721995,2.9822406755065174
berberis_vulgaris,0.8195293386693762,0.6566019905283229,0.97315556771826606,0.68166243350745193,380.64027736643044,116933,1.785772972221537,194.86314569597786,194.86314569597786,187.00090621670344,142.42021028988924,1.0172771710149617,0.4857193611733136,0.73087299181801579,1.4706513496958182,4.33044319937013,15,15,55.06666666666667,14.875041020133239,1.1178327828197325,62.133333333333333,2.5551662605353083,4.4686128582379752
berberis_vulgaris,0.8403906652228691,0.6425452741654565,0.96323156934922838,0.67065019956853222,381.133344669933,118444,2.402514091363801,196.41971217890247,196.41971217890247,192.76203125510943,122.94587965989979,1.005636863325716,0.99450128457505593,0.62593452712077369,1.4973295939926325,4.2705829397191968,6,6,127.16666666666667,28.938565517145776,1.6798332725476826,147.16666666666666,5.1892085567549486,13.934521208923286
berberis_vulgaris,0.8128785638898723,0.6355862230322453,0.96834771954351595,0.68100019884668916,396.20572523619967,127321,1.7553328301739417,202.65644326782206,202.65644326782206,193.6858458423022,265.7337635828498,1.0127264968889209,0.9913002015151603,0.73782029515416125,1.4739894312782515,4.3586921706331969,22,22,36.31818181818182,9.2886198340975952,1.0795206618524276,42.045454545454547,2.8281508196493506,4.5465314102669367
berberis_vulgaris,0.7985221925102179,0.6473767892059016,0.97377158911758743,0.69350670530528269,375.19752635718936,113541,1.6860622444183622,190.29874642618091,190.29874642618091,184.59005883191861,168.15546253333071,1.0052227577111994,0.0,0.75920182193013575,1.4355170579758285,4.5062342901116548,13,13,61.07692307692308,16.754098267484636,1.7905359437598918,72.692307692307693,3.1243562644898017,4.4373907632758289
berberis_vulgaris,0.8436387268384319,0.646659841879824,0.97367052786798614,0.69645165223753203,381.37212755284975,117321,1.875123017042061,196.48333372780095,196.48333372780095,188.38742392653029,139.25284332511154,1.0134711033117336,0.48657616756968558,0.70872598038277423,1.483183669578769,4.3408009578193765,11,11,62.0,24.892853522318351,1.3004100917059986,85.0,2.4221233212759667,3.3547900837319844
berberis_vulgaris,0.8226785241122171,0.6883496951679395,0.97861123396727112,0.70493182107811903,375.3145844663388,113050,1.7552925623941478,191.45075496227926,191.45075496227926,182.66009954906477,141.64155603472676,1.0079795893510008,0.0,0.73983284141466976,1.4440032132435867,4.3370451187451566,8,8,90.25,30.577582782270202,0.88101136563335558,116.0,2.3323004909826821,3.9894880055834676
berberis_vulgaris,0.8089004583078374,0.6118872630343476,0.96787103769373051,0.68213717811128649,393.15878116854805,125432,1.8054018316474556,201.61103829580586,201.61103829580586,195.42417030652007,256.50163515299761,1.0209882440533322,0.0,0.72566593889566711,1.467017083712153,4.4460697871343084,16,16,60.6875,11.787092205835254,1.2779245477320273,61.0625,3.3590533687064603,6.8075113110673726
berberis_vulgaris,0.7882053840087191,0.6719734979301116,0.97027390276683501,0.6792244701973863,365.0755662377138,107885,1.7970952348583331,186.05028642992846,186.05028642992846,178.58518915044755,136.16554401269875,0.99266129565224559,1.0039272811333697,0.73187494964691902,1.4205319571458084,4.4420837832291866,13,13,59.846153846153847,14.696833245069651,1.5424556905762188,63.846153846153847,3.6506601364209663,11.338424623611417
