Type,Eccentricity,Circularity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
betula_pubescens,0.7235332566130663,0.5261098959320402,0.96297659204742925,0.65356865356865357,346.3370483075846,97830,1.5457814370935568,175.9700200207096,175.9700200207096,166.13656919949403,158.8220525431515,1.0437699801366693,0.51907472155971224,0.79150967600284938,1.4358702088541033,4.9906971703080574,19,20,34.315789473684212,6.239656220754636,0.78651604804045405,32.75,5.4467815236939474,14.368449591223339
betula_pubescens,0.554888602501406,0.4781697871256654,0.94703766688168256,0.66449281325433396,351.2486849018691,102318,1.3671717585263734,177.76460632546707,177.76460632546707,177.06955405070607,150.20112028774921,1.0159897466479133,0.0,0.84494390302166111,1.3815286429879468,5.5825454288050071,36,37,22.972222222222221,7.0344178740703427,1.5579795089228412,23.918918918918919,6.1138459208651312,11.856470769846879
betula_pubescens,0.46236332835116567,0.49166449285464325,0.95168964793941335,0.6527269836221975,331.2998867399364,90581,1.3080376226202897,167.05634098688557,167.05634098688557,163.77855317678925,146.60972561784604,1.0364901290942257,1.0206457267847164,0.86699822641178681,1.3660480615091002,5.6089429850184604,40,40,19.75,5.4178565195605035,0.91147497880982087,20.175000000000001,4.9610310836399458,11.23846013536749
betula_pubescens,0.537650000082365,0.45394463864680923,0.93916767457359362,0.65005723462780407,311.27111918022797,81026,1.4528629854837687,156.57074415355913,156.57074415355913,154.49313491491165,149.38492744623392,1.0295397021058665,1.0229152972112312,0.82468080487843864,1.4086669572630692,5.5586781240192549,33,33,22.181818181818183,6.5330356775926663,2.5782238077807733,22.484848484848484,6.00816448703638,17.526379695581625
betula_pubescens,0.6325507283728369,0.5046694412884138,0.93945254522393828,0.62727032481260814,364.65681341920777,111169,1.4469565251829533,187.11717405711198,187.11717405711198,181.0938082798732,156.11534291586602,1.061258015157363,1.0642113733163061,0.81005208772773707,1.5167006279999034,4.7850475019962992,27,27,32.333333333333336,8.4654413252275216,1.0767525816821433,34.74074074074074,4.722884155491216,13.53290133902874
betula_pubescens,0.3879983748857653,0.4689668001896513,0.93826312719884108,0.63624591753419069,356.3660083544997,106306,1.4373077947866892,179.5269837110896,179.5269837110896,177.21911796955587,165.78966777576125,1.0121853462270345,0.0,0.82786906049720932,1.373337284431287,5.755399178181885,35,35,25.600000000000001,6.7530370473139651,1.2174823486603543,26.685714285714287,6.0659070108383926,13.814505134862344
betula_pubescens,0.5525601707226355,0.5032550985239442,0.94642785910885951,0.61992022156804683,301.0425955162482,75207,1.6311533788542316,151.77915131826114,151.77915131826114,150.71339429735735,151.70112197502121,0.98619626219999768,1.0011853526689505,0.77649458935767535,1.4330591995618407,5.2779544338702475,29,30,26.206896551724139,5.7802164464145953,0.87331889898075588,24.466666666666665,5.6753331027723979,14.759871316867859
betula_pubescens,0.4760203776461873,0.49998740152101745,0.94816405731723497,0.66252375654753626,381.55403651981356,120592,1.3997363017028106,192.57803881064515,192.57803881064515,189.8924419211267,161.25119571114416,1.0212468943210844,0.99994166988231747,0.83732909893062357,1.3668202921543711,5.6074857689353319,39,40,22.205128205128204,6.3724239921101988,1.3366164531964273,23.024999999999999,5.7017702060780788,12.441750204238758
betula_pubescens,0.6117303899240675,0.5228715537045054,0.94537050747784146,0.62842578921465231,337.34763041701297,94546,1.5446959899276689,172.18750074785507,172.18750074785507,172.0693352805342,135.71447116578798,1.0134393463577669,0.0,0.78817841351053219,1.4818932904629727,4.9654436852136286,28,29,28.928571428571427,5.666055598303374,1.0865817180306578,31.172413793103448,4.1798774663093337,11.202773450755558
betula_pubescens,0.4613085586944875,0.5277770133339474,0.95522414018000779,0.65706013949203845,373.9789713753685,114995,1.35591380258637,188.00768255181399,188.00768255181399,186.17932388156612,160.58358389758632,1.0236500274248477,0.0,0.85413309561608086,1.3342160494894215,5.6090891245597465,36,36,23.638888888888889,6.0920230143752727,0.9495040575338578,24.388888888888889,5.7779947927922741,13.200613669874116
betula_pubescens,0.484707899051769,0.5324370795619815,0.9572200500812722,0.63737575250542622,372.4437614469023,113815,1.4816955515139276,187.92400473116072,187.92400473116072,185.91861474657745,152.98583454129448,1.020684635076077,0.0,0.81408351615405439,1.3788644802584287,5.3835700019474535,40,41,20.625,5.2004404626822076,1.1257203767406452,21.463414634146343,5.0680643967151608,12.348193946829099
betula_pubescens,0.5072763756160021,0.5550972717832833,0.94944929194678873,0.61153116189938028,356.04609537532036,104865,1.4938266163583471,179.25902964601269,179.25902964601269,176.04945126927282,161.78742560424308,1.0048137616372876,1.0079444862379923,0.81254064384308822,1.397912574045068,5.0760519573646601,24,25,30.083333333333332,6.7312863914224126,1.2005650316300489,29.120000000000001,6.2110567937107088,18.318399402061573
betula_pubescens,0.47264624753462,0.4685954797213125,0.94012413713092402,0.65159775494121996,321.2097340805057,86195,1.552734532936433,161.62499611455684,161.62499611455684,158.4851542330091,149.60431047409432,1.0005312074073835,1.0014084563564345,0.79744652305081642,1.3657924573554419,5.7622735814506747,37,37,21.783783783783782,6.0698341950069326,0.94091477554826497,22.972972972972972,5.6481581248639241,15.180346369178949
betula_pubescens,0.5926151240047779,0.5636777031414966,0.95700224029353143,0.62272153351698811,371.68576825377556,113378,1.5275855417790676,187.91383182673357,187.91383182673357,183.71396292360589,205.74854257768106,0.99373126467790418,0.0,0.80017396837053467,1.434094324368282,4.894499968022628,25,26,31.280000000000001,6.7097728875056646,0.68261057024125193,29.192307692307693,5.9362024404583247,13.315295228765251
betula_pubescens,0.40284563274817925,0.4605813415368702,0.94397482657512699,0.65966336158643846,409.9542986076162,139830,1.4282528187240313,206.53967686372789,206.53967686372789,203.52008162178691,211.89833847744441,1.0278893753001419,0.9905551445252444,0.83042307952755656,1.3432879857982367,5.9616006628559557,43,44,23.069767441860463,6.9528027148418916,1.1291012227416672,23.681818181818183,6.5407891954361412,13.343059455043971
betula_pubescens,0.5773885206345514,0.4882896060483738,0.93763554532946747,0.60813099943534721,391.89698498984944,128647,1.5317239435672261,199.41658807254024,199.41658807254024,195.8857456806939,176.62493131212852,1.0191359887459106,0.0,0.79394495725617742,1.4764801242337502,5.1590399082596026,29,30,31.827586206896552,7.5733554691733316,2.5895710019679825,31.966666666666665,6.8068508488062696,14.262933376729194
betula_pubescens,0.5714648770887555,0.49176177728788467,0.94637667572888351,0.64669162656948442,340.11788961610534,96003,1.5773150497605264,172.66073357489154,172.66073357489154,171.72950150644539,185.11731823777981,1.0416346051607757,0.0,0.78423581978613244,1.4574757792131368,5.1460599396171389,33,34,25.121212121212121,5.857705415195289,1.247786729275191,26.5,4.9001865653544785,13.678811353882878
betula_pubescens,0.6373349296475435,0.5090070313347761,0.95243514617334168,0.611328125,387.6126152723798,123894,1.6102059050866253,197.04476608407785,197.04476608407785,194.05857360203706,169.31562647954814,1.0095997208023995,1.0339044847360355,0.77510813762144326,1.4845703438186273,5.0320173017240108,21,22,40.285714285714285,8.319490745828622,2.4479346016815668,41.363636363636367,7.1359574705979725,25.577876329020853
betula_pubescens,0.5095910471585628,0.5144173825142747,0.93866260115828637,0.6158777492576375,353.0492674285683,104292,1.4049552190033943,178.70038984432978,178.70038984432978,176.55535672316228,178.70913586663028,1.0005723369074235,1.0113591964869117,0.83339056250939569,1.4177695581023528,5.2100607130448893,29,30,24.896551724137932,7.5878315411448662,2.0643916503843229,27.166666666666668,6.3809854258785785,17.348325149377047
betula_pubescens,0.4630450432283597,0.5207452863239025,0.94771630411974539,0.68770460601446515,371.50245448867855,114376,1.3292283660225155,186.46877189391961,186.46877189391961,185.87134409777647,161.11348485819289,1.0351782563499079,0.50998010306867858,0.86402395007915256,1.308055306010417,5.7110886179187066,38,38,21.368421052631579,6.914065229241273,1.8784098163399676,21.421052631578949,7.0368198751247375,15.817323097961605
betula_pubescens,0.573858810917217,0.5216873406729503,0.95399555184088625,0.64166611085173075,414.1120797100042,141182,1.4390398117755054,210.09860409987877,210.09860409987877,207.56554046938237,172.60425550776648,0.99022798403041379,1.0212883488243223,0.82153927793690695,1.4289247289867228,5.209598209026769,34,35,28.882352941176471,6.878760058393155,1.1951989327758099,27.828571428571429,5.7988552759494949,13.724177002530865
betula_pubescens,0.42653562677768897,0.5359911591001961,0.95387070804084684,0.66880573587446834,414.70045250442934,141602,1.3122451050342279,208.52660951238201,208.52660951238201,206.39528229540849,199.48638034230297,0.99526163714336446,1.0020426408286538,0.86803163054032229,1.3278964763075778,5.5615394271344494,42,43,21.404761904761905,6.3966703212345699,0.54119400648727378,22.558139534883722,5.1593435191983197,12.473946698947742
betula_pubescens,0.337615595611831,0.501077036484967,0.94586094726470227,0.64609994468006637,422.4299571215594,148174,1.3660614822480748,211.97673706232993,211.97673706232993,208.7932451874515,180.71308105442205,0.99769216751390177,0.98416479858242234,0.85251374070016428,1.3236724463323635,5.7735945598870844,40,41,24.699999999999999,6.8701650704810131,1.5574583389808367,24.658536585365855,6.4007520642154478,14.422179697462468
betula_pubescens,0.4865187036220314,0.5215258625801559,0.95296991415091903,0.67775485881921527,433.8893013719011,155156,1.3831429320155173,218.20126463716113,218.20126463716113,215.44631931681332,218.26032396968751,1.0218169884193449,0.0,0.84539203505206073,1.3513767062031181,5.544776752690991,41,42,25.804878048780488,6.5456471269316401,1.1863903284151718,26.69047619047619,6.0733211736542234,13.454034655813444
betula_pubescens,0.5436657069787636,0.513293547290379,0.94341724214747158,0.6202765246938895,402.2003035287299,134670,1.5551128370039815,203.3549286654503,203.3549286654503,202.0585500262786,180.04555733331372,1.0144588231856211,0.50294259886143111,0.79300649143852042,1.4159561414738679,5.2823200340150649,34,35,29.941176470588236,6.4393268673978179,0.89414373049473284,27.485714285714284,5.5748566004620832,14.295101767834353
betula_pubescens,0.48239403749258003,0.560440225263324,0.96073133452614656,0.65860877165104081,410.9345621131607,138049,1.3656929154469244,206.32328652404846,206.32328652404846,203.07916249016239,237.71467810764631,1.0112750675974003,0.0,0.85215363059206839,1.3068091876188286,5.4853929975334772,32,33,28.03125,6.1377145217572311,0.79468043176919423,26.939393939393938,6.5537207529702028,12.813890620430897
betula_pubescens,0.4971460633661351,0.5209219480453741,0.94199607654333406,0.66137763673697969,408.54650305549944,139163,1.4135981039038663,206.08959594753793,206.08959594753793,204.49126564443893,171.81003443197034,1.0437776391667262,0.51669622004466942,0.83366670521158293,1.3717872334021433,5.3941996826876615,32,33,30.53125,7.0539286869140794,0.81164232273533798,30.121212121212121,7.1982402020337837,17.726325803056994
betula_pubescens,0.6808081786924625,0.5210066237236691,0.9517476227190953,0.62768810939307518,434.28674140666516,155640,1.6594858350892436,220.52871482445249,220.52871482445249,213.68363884731116,191.47103396509542,0.98055488220655351,1.0377382681885445,0.76435419536288596,1.510439960404238,4.8334503592043365,26,27,34.230769230769234,7.7612109373892384,0.88550592319236898,34.407407407407405,6.4449544917634007,16.231221659151885
betula_pubescens,0.5648679645368855,0.4852296021554133,0.94694104174619154,0.65798611111111116,416.7982767282821,144085,1.5207649595512067,210.20418708652991,210.20418708652991,207.38567458509678,168.99150371411477,0.99920719915499623,1.0115065362700955,0.80393975998465683,1.411639091586768,5.5201243162318478,34,35,30.735294117647058,7.9877946414466487,1.4353713280753766,31.914285714285715,6.9038931930573382,13.884095545576145
betula_pubescens,0.3923300930955034,0.5179273348497619,0.93924470082157219,0.62580641894286959,396.67463072019825,131577,1.3016849441399974,199.93057164510535,199.93057164510535,196.06904071104071,191.73474798131741,1.0152515993665399,0.0,0.86950539678139172,1.3065618609173901,5.6465455485264533,31,32,25.580645161290324,8.3079557638750838,0.95919502947279511,25.84375,6.7352113199754076,13.016245309786115
betula_pubescens,0.604543072138753,0.4946852177342782,0.94717925768466982,0.65209940017137957,415.2956564313377,143012,1.40900727667657,210.41085322510745,210.41085322510745,207.47458617691586,194.23779707612766,1.0344336134999237,0.51452701623219599,0.83138586744116272,1.4307766053926054,5.2781767505223325,37,38,24.432432432432432,6.256963522518169,0.92593453877421439,24.973684210526315,6.4374077789304138,14.738645706976087
